step,protocol,dependencies
s00_CheckIlluminaEncoding,protocols/CheckIlluminaEncoding.sh,
s01_FastQC,protocols/FastQC.sh,s00_CheckIlluminaEncoding
s02_BwaAlign,protocols/BwaAlign.sh,s00_CheckIlluminaEncoding
s03_SamToBam,protocols/SamToBam.sh,s02_BwaAlign
s04_SortBam,protocols/SortBam.sh,s03_SamToBam;inputSortBam=alignedBam;sortedBam=alignedSortedBam;sortedBamIdx=alignedSortedBamIdx
s05_FilterOnIntervalList,protocols/FilterOnIntervalList.sh,s04_SortBam
s06_MergeBam,protocols/MergeBam.sh,s05_FilterOnIntervalList;inputMergeBam=intervalsSortedBam;inputMergeBamIdx=intervalsSortedBamIdx;mergedBam=sampleMergedBam;mergedBamIdx=sampleMergedBamIdx
s07_MarkDuplicates,protocols/MarkDuplicates.sh,s06_MergeBam
s08_Pindel,protocols/Pindel.sh,s07_MarkDuplicates;bamFilePindel=sampleMergedBam;bamFilePindelIdx=sampleMergedBamIdx
s09_IndelRealignment,protocols/IndelRealignment.sh,s07_MarkDuplicates
s10_GenerateCovariateTablesBefore,protocols/GenerateCovariateTables.sh,s09_IndelRealignment;inputGenerateCovariateTablesBam=realignedBam;inputGenerateCovariateTablesBamIdx=realignedBamIdx;outputGenerateCovariateTablesTable=beforeRecalTable;inputGenerateCovariateTablesTable=beforeRecalTable;inputRecal=recalBefore
s11_QualityScoreRecalibration,protocols/QualityScoreRecalibration.sh,s10_GenerateCovariateTablesBefore
s12_GenerateCovariateTablesPost,protocols/GenerateCovariateTables.sh,s11_QualityScoreRecalibration;inputGenerateCovariateTablesBam=BQSRBam;inputGenerateCovariateTablesBamIdx=BQSRBamIdx;outputGenerateCovariateTablesTable=postRecalTable;inputGenerateCovariateTablesTable=beforeRecalTable;inputRecal=recalPost
s13_AnalyzeQualityScoreRecalibration,protocols/AnalyzeQualityScoreRecalibration.sh,s12_GenerateCovariateTablesPost
s14_CollectBamMetrics,protocols/CollectBamMetrics.sh,s13_AnalyzeQualityScoreRecalibration;inputCollectBamMetricsBam=BQSRBam;inputCollectBamMetricsBamIdx=BQSRBamIdx;collectBamMetricsPrefix=collectFinalBamMetricsPrefix
s15_VariantCalling,protocols/VariantCalling.sh,s11_QualityScoreRecalibration
s16_MergeChrAndSplitVariants,protocols/MergeChrAndSplitVariants.sh,s15_VariantCalling
s17_SnpFiltration,protocols/SnpFiltration.sh,s16_MergeChrAndSplitVariants
s18_IndelMergeVcf,protocols/IndelMergeVcf.sh,s08_Pindel;s16_MergeChrAndSplitVariants
s19a_SnpEffIndel,protocols/SnpEffIndel.sh,s18_IndelMergeVcf
s19b_SnpEffSNP,protocols/SnpEffSNP.sh,s17_SnpFiltration
s20a_VariantAnnotatorIndel,protocols/VariantAnnotator.sh,s19a_SnpEffIndel;snpEffCallsVcf=snpEffIndelsVcf;variantVcf=sampleIndelsPindelGATKMerged;variantAnnotatorOutputVcf=variantAnnotatorOutputIndelsVcf
s20b_VariantAnnotatorSNP,protocols/SNPAnnotator.sh,s19b_SnpEffSNP;variantVcf=projectSNPsMergedFiltered;variantAnnotatorOutputVcf=variantAnnotatorOutputSnpsVcf
s21_dbNSFPAnnotation,protocols/dbNSFPAnnotation.sh,s20b_VariantAnnotatorSNP
s22a_VcfToTableIndel,protocols/IndelVcfToTable.sh,s20a_VariantAnnotatorIndel;variantsFinalVcf=variantAnnotatorOutputIndelsVcf;variantType=indel;variantsFinalVcfTable=variantAnnotatorOutputIndelsVcfTable
s22b_VcfToTableSNP,protocols/SNPVcfToTable.sh,s21_dbNSFPAnnotation;variantsFinalVcf=outputDbNSFPVcf;variantType=snp;variantsFinalVcfTable=variantAnnotatorOutputSnpsVcfTable
s23_ConcordanceCheck,protocols/ConcordanceCheck.sh,s22a_VcfToTableIndel
s24_QCReport,protocols/QCReport.sh,s23_ConcordanceCheck;s14_CollectBamMetrics;s22b_VcfToTableSNP
s25_CopyToResultsDir,protocols/CopyToResultsDir.sh,s24_QCReport
s26_CountAllFinishedFiles,protocols/CountAllFinishedFiles.sh,s25_CopyToResultsDir
