CHR,featureChunkFile
17,meta-exonlist_sorted.chr17.chunk00000
17,meta-exonlist_sorted.chr17.chunk00001
17,meta-exonlist_sorted.chr17.chunk00002
17,meta-exonlist_sorted.chr17.chunk00003
17,meta-exonlist_sorted.chr17.chunk00004
17,meta-exonlist_sorted.chr17.chunk00005
17,meta-exonlist_sorted.chr17.chunk00006
17,meta-exonlist_sorted.chr17.chunk00007
17,meta-exonlist_sorted.chr17.chunk00008
17,meta-exonlist_sorted.chr17.chunk00009
17,meta-exonlist_sorted.chr17.chunk00010
17,meta-exonlist_sorted.chr17.chunk00011
17,meta-exonlist_sorted.chr17.chunk00012
17,meta-exonlist_sorted.chr17.chunk00013
17,meta-exonlist_sorted.chr17.chunk00014
17,meta-exonlist_sorted.chr17.chunk00015
17,meta-exonlist_sorted.chr17.chunk00016
17,meta-exonlist_sorted.chr17.chunk00017
17,meta-exonlist_sorted.chr17.chunk00018
17,meta-exonlist_sorted.chr17.chunk00019
17,meta-exonlist_sorted.chr17.chunk00020
17,meta-exonlist_sorted.chr17.chunk00021
17,meta-exonlist_sorted.chr17.chunk00022
17,meta-exonlist_sorted.chr17.chunk00023
17,meta-exonlist_sorted.chr17.chunk00024
17,meta-exonlist_sorted.chr17.chunk00025
17,meta-exonlist_sorted.chr17.chunk00026
17,meta-exonlist_sorted.chr17.chunk00027
17,meta-exonlist_sorted.chr17.chunk00028
17,meta-exonlist_sorted.chr17.chunk00029
17,meta-exonlist_sorted.chr17.chunk00030
17,meta-exonlist_sorted.chr17.chunk00031
17,meta-exonlist_sorted.chr17.chunk00032
17,meta-exonlist_sorted.chr17.chunk00033
17,meta-exonlist_sorted.chr17.chunk00034
17,meta-exonlist_sorted.chr17.chunk00035
17,meta-exonlist_sorted.chr17.chunk00036
17,meta-exonlist_sorted.chr17.chunk00037
17,meta-exonlist_sorted.chr17.chunk00038
17,meta-exonlist_sorted.chr17.chunk00039
17,meta-exonlist_sorted.chr17.chunk00040
17,meta-exonlist_sorted.chr17.chunk00041
17,meta-exonlist_sorted.chr17.chunk00042
17,meta-exonlist_sorted.chr17.chunk00043
17,meta-exonlist_sorted.chr17.chunk00044
17,meta-exonlist_sorted.chr17.chunk00045
17,meta-exonlist_sorted.chr17.chunk00046
17,meta-exonlist_sorted.chr17.chunk00047
17,meta-exonlist_sorted.chr17.chunk00048
17,meta-exonlist_sorted.chr17.chunk00049
17,meta-exonlist_sorted.chr17.chunk00050
17,meta-exonlist_sorted.chr17.chunk00051
17,meta-exonlist_sorted.chr17.chunk00052
17,meta-exonlist_sorted.chr17.chunk00053
17,meta-exonlist_sorted.chr17.chunk00054
17,meta-exonlist_sorted.chr17.chunk00055
17,meta-exonlist_sorted.chr17.chunk00056
17,meta-exonlist_sorted.chr17.chunk00057
17,meta-exonlist_sorted.chr17.chunk00058
17,meta-exonlist_sorted.chr17.chunk00059
17,meta-exonlist_sorted.chr17.chunk00060
17,meta-exonlist_sorted.chr17.chunk00061
17,meta-exonlist_sorted.chr17.chunk00062
17,meta-exonlist_sorted.chr17.chunk00063
17,meta-exonlist_sorted.chr17.chunk00064
17,meta-exonlist_sorted.chr17.chunk00065
17,meta-exonlist_sorted.chr17.chunk00066
17,meta-exonlist_sorted.chr17.chunk00067
17,meta-exonlist_sorted.chr17.chunk00068
17,meta-exonlist_sorted.chr17.chunk00069
17,meta-exonlist_sorted.chr17.chunk00070
17,meta-exonlist_sorted.chr17.chunk00071
17,meta-exonlist_sorted.chr17.chunk00072
17,meta-exonlist_sorted.chr17.chunk00073
17,meta-exonlist_sorted.chr17.chunk00074
17,meta-exonlist_sorted.chr17.chunk00075
17,meta-exonlist_sorted.chr17.chunk00076
17,meta-exonlist_sorted.chr17.chunk00077
17,meta-exonlist_sorted.chr17.chunk00078
17,meta-exonlist_sorted.chr17.chunk00079
17,meta-exonlist_sorted.chr17.chunk00080
17,meta-exonlist_sorted.chr17.chunk00081
17,meta-exonlist_sorted.chr17.chunk00082
17,meta-exonlist_sorted.chr17.chunk00083
17,meta-exonlist_sorted.chr17.chunk00084
17,meta-exonlist_sorted.chr17.chunk00085
17,meta-exonlist_sorted.chr17.chunk00086
17,meta-exonlist_sorted.chr17.chunk00087
